DATE ,PARTY NAME ,PARTICULAR ,COLOR ,IN-WORD,WASHING,OUT-WORD,EXTRA,RATE , AMOUNT ,DESIGN,G.P,2/,2=,2,2/=,111=,VIRUS ,QTY,,
9-Jul-2019,NEHAL SHAH,RECEVIED,GOLDEN,213,,,,150,0,S (WHITE),,82,87,44,,,,,,
9-Jul-2019,MILAP BANGLE,RECEVIED,GOLDEN,600,,,,,0,NAGIN (WHITE),,300,200,100,,,,,,
9-Jul-2019,REHAN FARHAN,RECEVIED,GOLDEN,300,,,,,0,GOLA (WHITE),,,300,,,,,,,
9-Jul-2019,MILAN BANGLE,RECEVIED,GOLDEN,550,,,,150,0,SADA BHAR (WHITE),,200,200,150,,,,,,
9-Jul-2019,QAZI AKRAM,RECEVIED,T.W,145,,,,,0,GOLA (RED),,,,,105,40,,,,
9-Jul-2019,QAZI AKRAM,RECEVIED,T.W,75,,,,,0,GOLA (GREEN),,,,,29,46,,,,
9-Jul-2019,QAZI AKRAM,RECEVIED,T.W,75,,,,,0,GOLA (GOLDEN),,,,,37,38,,,,
9-Jul-2019,QAZI AKRAM,RECEVIED,T.W,31,,,,,0,GOLA (JAMNI),,,,,31,,,,,
9-Jul-2019,QAZI AKRAM,RECEVIED,T.W,139,,,,,0,GOLA (BLUE),,100,,39,,,,,,
9-Jul-2019,QAZI AKRAM,RECEVIED,T.W,69,,,,,0,GOLA (GOLDEN),,,,69,,,,,,
9-Jul-2019,QAZI AKRAM,RECEVIED,T.W,83,,,,,0,GOLA (GREEN),,83,,,,,,,,
9-Jul-2019,FAIZAN MEMONA,RECEVIED,GOLDEN,400,,,,150,0,GOLA (BLACK),,400,,,,,,,,
9-Jul-2019,AL NOOR BANGLE ,RECEVIED,GOLDEN,200,,,,150,0,JANOON (WHITE),,,,,200,,,,,
9-Jul-2019,AL NOOR BANGLE ,RECEVIED,GOLDEN,200,,,,,0,SAPNA (WHITE),,,,,200,,,,,
9-Jul-2019,MAKKAH BANGLE,WASHING,GOLDEN,,133,,,150,0,TAJ MEHAL (WHITE),,133,,,,,,,,
9-Jul-2019,MAKKAH BANGLE,WASHING,GOLDEN,,100,,,150,0,SADA BHAR (WHITE),,,100,,,,,,,
9-Jul-2019,MILAN BANGLE,WASHING,GOLDEN,,280,,,150,0,TAJ MEHAL (WHITE),,,,,280,,,,,
